Filename,Anomaly Score,Prediction
112.jpg,0.09649174811688077,Normal
93.jpg,-0.030607570934689576,Anomaly
31.jpg,0.07864198753344809,Normal
33.jpg,0.11631478643135357,Normal
77.jpg,0.090366512601039,Normal
27.jpg,0.10944171060441216,Normal
119.jpg,-0.010717165591772382,Anomaly
154.jpg,0.10501145036153786,Normal
134.jpg,0.08977579243271483,Normal
161.jpg,-0.008366282208264963,Anomaly
78.jpg,0.1110504342724487,Normal
90.jpg,0.09150662625959549,Normal
37.jpg,0.023697096358656133,Normal
156.jpg,0.06392028566452268,Normal
164.jpg,0.09396390960453832,Normal
29.jpg,0.08320311637696026,Normal
85.jpg,0.04741909285064683,Normal
30.jpg,0.0649799350371717,Normal
138.jpg,0.09534949797557057,Normal
84.jpg,0.08055862638845512,Normal
133.jpg,0.02949521041738895,Normal
25.jpg,0.09383477045570021,Normal
121.jpg,0.05171912523731226,Normal
45.jpg,0.08855422370689647,Normal
165.jpg,0.0805092460610472,Normal
7.jpg,0.12117228049331596,Normal
13.jpg,-0.03444897598249874,Anomaly
63.jpg,0.09866455177578454,Normal
101.jpg,0.06301509497652202,Normal
65.jpg,0.04208010874887658,Normal
122.jpg,0.09038158103081101,Normal
83.jpg,0.09276768389016005,Normal
40.jpg,0.06701547377199424,Normal
43.jpg,0.0752868520670471,Normal
115.jpg,0.06282205465202761,Normal
5.jpg,0.09815016349474137,Normal
49.jpg,0.07309066776370238,Normal
87.jpg,-0.003127650825947015,Anomaly
57.jpg,0.0970981570891889,Normal
2.jpg,0.06027329159603734,Normal
18.jpg,0.11350047689258608,Normal
12.jpg,0.053394965287758944,Normal
126.jpg,0.07322656413461509,Normal
148.jpg,0.025083418134454027,Normal
81.jpg,0.060135015386734436,Normal
131.jpg,0.011645579930705308,Normal
82.jpg,0.01043258733752328,Normal
89.jpg,0.023105344397838234,Normal
107.jpg,0.06980894784815894,Normal
130.jpg,0.11037927678919213,Normal
74.jpg,0.09016768905450162,Normal
96.jpg,0.08847375286314285,Normal
14.jpg,0.04217617446853761,Normal
3.jpg,0.06380133382840425,Normal
28.jpg,0.11588057120058959,Normal
22.jpg,0.10887409117562352,Normal
80.jpg,0.0791730888157845,Normal
66.jpg,0.08706610833835354,Normal
132.jpg,0.044997109155210824,Normal
163.jpg,0.10846758764597003,Normal
102.jpg,0.09898895542078684,Normal
64.jpg,0.062456325485500674,Normal
56.jpg,0.04357714187846795,Normal
108.jpg,0.10281302136958231,Normal
1.jpg,0.10678590909885571,Normal
120.jpg,0.059581077903505586,Normal
139.jpg,0.056351502962601496,Normal
21.jpg,0.06986261975514424,Normal
32.jpg,0.010220824907266557,Normal
72.jpg,0.07031204046520467,Normal
8.jpg,0.11204708852619061,Normal
135.jpg,0.057376966676143726,Normal
143.jpg,0.06822423361388619,Normal
159.jpg,0.08800144107398061,Normal
105.jpg,0.08348890407855253,Normal
50.jpg,0.07217274922052047,Normal
118.jpg,0.11223793833014117,Normal
124.jpg,0.08135391527848124,Normal
71.jpg,0.02812209249545744,Normal
62.jpg,0.12093946827987279,Normal
88.jpg,0.07959722191798058,Normal
125.jpg,0.06156724281993464,Normal
26.jpg,0.029428128541027054,Normal
123.jpg,0.01954142874298964,Normal
155.jpg,0.10623400439836655,Normal
110.jpg,0.10094011605550074,Normal
99.jpg,0.01672594139482375,Normal
114.jpg,0.08313853138354521,Normal
117.jpg,0.013541943178103588,Normal
58.jpg,0.10834715313508364,Normal
95.jpg,0.07140350964316894,Normal
111.jpg,0.052985305704108754,Normal
142.jpg,0.10463248994664676,Normal
